Product,Producers,Vegan,Vegetarian,Gluten-free,Lakto-free,Enivironment,Fair&Social,Price
milk,Andechser Molkerei Scheitz GmbH,no,yes,yes,no,2,3,1.5
milk,Demeter MilchBauern Schwarzwald-,no,yes,yes,no,3,3,2.5
milk,Schwarzwaldmilch GmbH Freiburg,no,yes,yes,no,2,3,1.5
milk,ARLA Foods Deutschl.GmbH/Hansa,no,yes,yes,no,1,3,1
milk,Andechser Molkerei Scheitz GmbH,no,yes,yes,no,2,2,1
milk,Milchw.Berchtesgad.Land Chiemgau eG,no,yes,yes,no,2,1,2
milk,Alpro Comm. VA/SCA,yes,no,yes,yes,2,1,2
milk,Oatly Germany GmbH,yes,no,yes,yes,2,3,3
choclate cream,Rigoni di Asiago Nocciolata,no,yes,yes,no,2,1,4.45
choclate cream,Franken Genuss Haselnuss-Nougat Ausftrich,no,yes,yes,no,3,0,6.9
choclate cream,Nudossi,no,yes,yes,no,2,0,2.99
choclate cream,Keimling vegane Schokocreme,yes,no,yes,yes,2,2,8.95
choclate cream,Gepa Cocoba,no,yes,yes,no,1,2,4.49
choclate cream,Bionella- Rapunzel,yes,no,yes,yes,2,1,3.99
choclate cream,Rewe Bio Nuss-Nougat-Creme,yes,no,yes,yes,2,1,2.99
banana,Bananen Chiquita kg,no,yes,yes,yes,2,0,1.99
banana,K-Bio Bananen kg,no,yes,yes,yes,1,0,2.29
banana,Rewe Beste Wahl,no,yes,yes,yes,2,0,1.89
banana,Bananen Baby 250g St.,no,yes,yes,yes,3,0,1.99
banana,Kochbananen kg,no,yes,yes,yes,2,3,2.29
banana,Bananen kg,no,yes,yes,yes,2,3,1.89
banana,Bananen Demeter kg,no,yes,yes,yes,2,2,1.99
